timestamp,strategy,random_state,total_daily_avg_trades,absolute_profit_usdt,total_profit_pct,cagr_pct,sortino,sharpe,calmar,sqn,max_consecutive_wins_loss,min_balance_usdt,max_balance_usdt,market_change_pct,win_draw_loss_winpct,absolute_drawdown_pct
2025-09-12T16:17:32.080757,RSIDivergenceBullishStrategy,5742,62 / 0.17,-1.276,-0.13,-0.13,-0.01,-0.0,-0.07,-0.01,8 / 3,970.189,1074.731,-59.72,31 9 22 50.0,
2025-09-12T17:09:30.325495,RSIDivergenceBullishStrategy,2416,41 / 0.11,-92.176,-9.22,-9.24,-2.23,-0.27,-5.25,-0.8,4 / 3,907.824,995.537,-59.72,19 2 20 46.3,
2025-09-12T17:18:02.882285,RSIDivergenceBullishStrategy,8259,49 / 0.13,-54.841,-5.48,-5.5,-1.28,-0.29,-3.58,-0.77,9 / 6,924.552,1005.345,-59.72,0 0 0 0,
2025-09-12T17:43:25.403928,RSIDivergenceBullishStrategy,4788,66 / 0.18,-174.487,-17.45,-17.49,-1.51,-0.66,-4.46,-1.54,8 / 8,807.812,1016.675,-59.72,26 0 40 39.4,
2025-09-12T21:58:07.815696,RSIDivergenceBullishStrategy,4285,14 / 0.04,43.4,4.34,4.35,0.83,0.1,4.02,0.5,6 / 3,943.296,1089.011,-59.72,8 0 6 57.1,5.67
2025-09-12T22:16:32.862028,RSIDivergenceBullishStrategy,2181,4 / 0.01,64.752,6.48,6.49,-100.0,0.24,-100.0,1.97,4 / 0,1030.017,1064.752,-59.72,4 0 0 100,0.0
2025-09-13T22:08:13.021049,RSIDivergenceBullishStrategy,253,6 / 0.02,112.783,11.28,11.31,-100.0,0.23,27.6,1.64,4 / 1,1030.994,1112.783,-59.72,5 0 1 83.3,2.14
2025-09-13T22:11:12.981480,RSIDivergenceBullishStrategy,143,6 / 0.02,123.12,12.31,12.35,-100.0,0.24,30.03,1.72,4 / 1,1029.566,1123.12,-59.72,5 0 1 83.3,2.15
2025-09-13T22:46:58.082986,IchimokuKinjunStrategy,4444,1604 / 4.41,-720.822,-72.08,-72.18,-22.83,-8.96,-5.23,-4.26,4 / 34,277.729,1002.55,-59.72,301 0 1303 18.8,72.3
2025-09-14T21:06:04.389607,IchimokuKinjunStrategy,6435,697 / 1.91,-396.449,-39.64,-39.73,-9.35,-3.3,-5.25,-2.38,4 / 24,603.551,997.012,-59.72,136 0 561 19.5,39.64
2025-09-14T21:15:31.470930,IchimokuKinjunStrategy,7559,349 / 0.96,-30.235,-3.02,-3.03,-0.55,-0.2,-0.93,-0.21,4 / 15,952.754,1148.704,-59.72,87 0 262 24.9,17.06
2025-09-14T21:24:35.893444,IchimokuKinjunStrategy,1479,291 / 0.8,-101.335,-10.13,-10.16,-2.18,-0.83,-3.56,-0.93,4 / 14,898.665,1056.413,-59.72,68 0 223 23.4,14.93
2025-09-14T21:33:31.045133,IchimokuKinjunStrategy,9469,291 / 0.8,-101.335,-10.13,-10.16,-2.18,-0.83,-3.56,-0.93,4 / 14,898.665,1056.413,-59.72,68 0 223 23.4,14.93
2025-09-14T22:06:33.477774,IchimokuKinjunStrategy,4586,290 / 0.8,-83.253,-8.33,-8.35,-1.73,-0.63,-3.2,-0.71,4 / 14,916.747,1061.98,-59.72,68 0 222 23.4,13.68
2025-09-14T22:08:59.099575,IchimokuKinjunStrategy,1391,105 / 0.29,-61.119,-6.11,-6.13,-1.01,-0.44,-2.67,-0.82,6 / 10,935.774,1063.54,-59.72,26 0 79 24.8,12.01
